titulo,direccion,precio,descripcion,construido,terreno,fecha,ide
Residencia en Venta Providencia,Brasilia,"MN 13,500,000","Hermosa residencia en venta en la colonia Providencia calle Brasilia, en coto privado de solo 6 casas El coto cuenta con casa club con alberca, cocina y seguridad las 24 horas. La casa fue remodelada en el año 2016, modificando pisos, instalaciones eléctricas , hidráulicas y de gas. 840m2 de terreno 600m2 de construcción PB: 3 recamaras amplias , principal con baño vestidor 3 baños terraza amplia baños en marmol cocina, comedor y sala PA: cuarto de servicio con baño completo, cuarto de lavado y estudio Cuenta con celdas solares y calentador , ahorrando 95% de luz Cod. vig",600m²,840m²,Publicado hace 126 días,
Casa en Venta en Jardines del Bosque. con Departamento.,CENTELLA,"MN 9,990,000","Inmueble en Jardines del Bosque ideal para oficinas, colonia destacada por su excelente ubicación, donde tu inversión estará garantizada. El inmueble tiene 16 m de frente por 35 m de fondo aproximadamente, con excelente estado de conservación, muy buena distribución y espacios muy bien aprovechados. EN PLANTA BAJA: Cochera para 8 autos, pequeña bodega, entrada independiente al departamento en plata alta, entrada principal, recibidor de muy buen tamaño, medio baño, dos recamaras con baño completo, la principal con chimenea y closet muy grande y vista al jardín, comedor, sala con acceso a la terraza y jardín, cocina y un estudio con entrada independiente, patio y cuarto de lavado con bodega muy amplia. EN PLANTA ALTA: Recamara con baño completo, closet de blancos, star de televisión que puede dar opción a una segunda recamara por su buen tamaño. DEPARTAMENTO INDEPENDIENTE: Con entrada totalmente independiente, un departamento con dos lugares de estacionamiento, sala, comedor, cocina, un pequeño patio, baño completo y dos recamaras, la principal con closet. Esta colonia cuenta con áreas verdes de calidad, tales como el Parque de la Ciudades Hermanas, el Parque de las Estrellas y el Paseo de las Arboledas. El inmueble lo encontramos a 2 minutos de Av. Lázaro Cárdenas y a 2 minutos de Av. Mariano Otero, llámanos y te llevamos a conocerlo.",540m²,560m²,Publicado hace 38 días,
Casa en Venta S. J. Gdl 8 Cocheras + Terraza Eventos,CALLE ISLA GUADALUPE 2724,"MN 2,900,000","ABAJO: 8 COCHERAS + TERRAZA para eventos 120 personas o más + ESTUDIO u oficina + ESTAR TV + 1 BAÑO Completo (fácilmente una recámara en planta baja) ARRIBA: SALA-COMEDOR y COCINA enormes (5x10m), RECÁMARA PRINCIPAL muy amplia con Baño y Clóset enorme, 2 RECÁMARAS secundarias con closet y un baño completo TERRENO 186m2 (10X18.60), CONSTRUCCIÓN 290m2 a solo $3'000,000, o Terminada a su gusto en $3'500,000 EXCELENTE DISEÑO, ideal también para oficinas",290m²,186m²,Publicado hace 23 días,56270765
Casa Habitación Isla Palma,Isla palma,"MN 4,190,000","Casa habitación. Planta baja cuenta con cochera, sala, cocina, comedor, una recamara con baño, patio de servicio y un baño completo; Segunda planta cuenta con terraza, pequeña cantina, recamara principal con vestidor y baño completo con jacuzzi ; Tercer planta cuenta con gimnasio, sauna, baño completo con jacuzzi, un patio, una sala de star, y dos recamaras",313m²,122m²,Publicado hace 139 días,
"Casa Venta en Ladron de Guevara, Zona Av Mexico Av Justo Sierra",Severo Diaz 130,"MN 28,000,000","Casa en venta Ladron de Guevara para fines comerciales o proyectos. Entre Av. Mexico, Av. lopez Mateos y Av Justo Sierra. Superficie terreno 1,164.5 m2 Frente 20 mts Fondo 55 mts. Construcción 850 uso mixto , cuenta con area estacionamiento para 12 autos. Planta baja 400m2 de area de oficinas baño de visita , baños para personal, area de cocina ,áreas de bodegas, ingreso principal, e ingreso para personal o servicios, el area de jardin fue cubierta con concreto, con posibilidad de rehabilitar alberca. Planta alta 350 m2 de área para oficina 8 recamaras para oficinas, 4 baños completos. Única en la zona con superficie de 1,165 m2, Severo Díaz es un corredor a el centro de la ciudad, al estar a solo 2 cuadras de Av. Hidalgo.",850m²,1164m²,Publicado hace 28 días,
Excelente Casa en Venta. Jardines de La Cuz. Buena Opción.,Isla Antillas,"MN 2,200,000","Casa en oportunidad. Ubicada en Jardines de la Cruz. Cuenta con Sala Comedor, Cocina estilo Mexicano, baño completo patio trasero y cuarto de servicio. En la Planta Alta tenemos cuatro habitaciones , baño completo, bodega. La casa cuenta con nueva instalación de tuberías hidráulicas.",188m²,128m²,Publicado hace 123 días,
Casa en Venta Colonia La Loma,LINDA VISTA,"MN 1,930,000","EXCELENTE CASA TOTALMENTE REMODELADA SOBRE AV LINDA VISTA, PLANTA BAJA: SALA, COMEDOR, COCINA INTEGRAL, ESTUDIO Y RECAMARA CON BAÑO COMPLETO Y MEDIO BAÑO, ÁREA DE LAVADO MUY AMPLIA, COCHERA 3 AUTOS, PLANTA ALTA, 2 RECAMARAS CON CLOSETS Y UN BAÑO COMPLETO, 2 TERRAZAS, BUENOS ACABADOS. MUY CERCA DEL CUCEI, AV REVOLUCIÓN Y CALZADA OLIMPICA.",146m²,120m²,Publicado hace 18 días,
Amplia Casa en Zona Residencial,ISLA SUMATRA NUM 2561,"MN 5,990,000","AMPLIA CASA DE TRES NIVELES EN EXCELENTE UBICACIÓN, ZONA RESIDENCIAL, P.B. COCHERA SUBTERRANEA PARA 3 AUTOS, ESTUDIO, MEDIO BAÑO, SALA A DESNIVEL CON CANTINA, COMEDOR, TERRAZA CON ALBERCA, EN P.A. TRES RECAMARAS LA PRINCIPAL CON VESTIDOR Y BAÑO Y LAS OTRAS DOS CON BAÑO COMPLETO, Y 3ER NIVEL, TRES RECAMARAS CON BAÑO COMPLETO, Y UN ESTAR PARA TV.",420m²,273m²,Publicado hace 82 días,
"Morelos Esquina Chapultepec, Colonia American.",Morelos esquina Chapultepec,"MN 6,390,000","Hermosa Residencia calle Morelos esquina Chapultepec, super ubicación!!. Totalmente Remodelada. Ideal para uso comercial, con permiso de estacionamiento extra. Amplios espacios y excelentes terminados, que no te la ganen. Visitas previa cita",305m²,185m²,Publicado hace 16 días,
Excelente Casa Remodelada por Av Belisario Sin Pasar Periférico,Belisario Domínguez 3007,"MN 1,570,000","Muy bonita casa en condominio con portón automático, 2 cuadras antes de pasar periférico junto a la nueva clínica del IMSS, son 2 recámaras y un estar de tv, 1.5 baños, cocina integral hermosa, la ubicación es perfecta ya que tienes transporte público en la puerta, tiendas de abarrotes y todos los servicios cercanos, el condominio es de 40 casas",100m²,75m²,Publicado hace 89 días,
Casa en Venta en Calle Privada Unidad Río Verde,HACIENDA CARACUARO 2580,"MN 1,280,000","casa en venta de una planta en calle privada. Excelente ubicación ! Medidas: 116 de terreno y 105 de construcción 7.20 de frente por 16.20 de fondo Características: 4 habitaciones Estudio. Sala/ comedor Cocina integral Bodega 2 áreas de servicio *No tiene cochera pero se podría adaptar una sin problemas. AGENDA TU CITA!! Hacienda Carácuaro 2580, colonia. Unidad río verde",105m²,116m²,Publicado hace 5 días,55727684
Casa Mayra a La Venta,LAURA MENDEZ,"MN 3,650,000","Ref: NEX-9192Casa de una planta, en el cual la distribución es la siguiente: sala y comedor, cocina, área de lavado y patio de servicio, dos recamaras cada una con su baño.La casa cuenta con vitro piso en un 70% de la propiedad, la ventanera es de herrería, con una antigüedad aproximada de 35 años, en un estado de buena conservación.La propiedad se encuentra entre avenidas principales, también cerca de centros comerciales y negocios de todo tipo así como escuelas y zona industrial.Ideal para lotes comerciales gracias a la afluencia de gente que se encuentra en los alrededores de las avenidas sobre este domicilio.La propiedad cuenta ya con 5 locales comerciales en buen estado, los cuales se pueden adaptar al gusto del comprador.",233m²,247m²,Publicado hace 13 días,
Casa en Venta Av Circunvalación,AVENIDA CIRCUNVALACION 73,"MN 6,400,000","Gran oportunidad para negocio, excelente ubicación en Av Circunvalación a una cuadra de Calzada Independencia. Planta baja: Cochera para 4 autos, Sala, Comedor, Cocina, medio baño y Cuarto de Servicio con baño completo y jardín trasero. Planta alta: 4 Recámaras, 2 Baños completos. Ideal para Oficinas o Consultorios.",333m²,354m²,Publicado hoy,
"Residencia en Club Náutico Puente Viejo, Jal.",,"MN 10,000,000","Residencia en Club Náutico Puente Viejo, Juanacatlán, Jalisco, Méx.Capilla/Terraza con catalana con cúpula, piso cerámico español con balcón vista a la alberca, ideal para meditar, descansar, orar.Medio baño para visitas al subir las escaleras.Cuarto de visitas con ventilador y ventana con vista a la terraza.Recámara principal muy amplia con Jacuzzi, hidromasaje, closet amplio con isla central. Baño completo, aire acondicionado.Cocineta con luz en barra, ventilador, fachaleta en muros, salida hidráulica para refrigerador.Sala-comedor y bar amplios con espacio compartido,Amplios ventanales, ventiladores, aire acondicionado, finas luminarias, candelabro, cúpula, piso cerámico tipo español, luz bajo escalera.Escalera con barandal metálico pintado.Barra desayunadora iluminada con doble tarja.Arco rústico en la entrada principal.Dos recámaras amplias con baño completo y cuarto de closet, amplios ventanales, ventilador.Cuarto de lavado con espacio para servidumbre. GENERALIDADESEstacionamiento para 4 autos2 tinacos en la casa.1 tinaco exterior en los baños para alberca.1 tinaco en el baño de la entradaFosa séptica en la entrada.Árboles frutales: manzana, plátano, guayaba, fresa, limón, aguacate, ciruelas, higos, maguey, nopales, chiles, palmas, cipresos, palma de desierto, mango, granado, plantas de ornato.Quiosco con plancha industrial, estufa y quemadores, hielera artesanal, catalón.Amplia terraza con cimientos para construir.Perrera amplia con 2 jaulas individuales integradas.2 baños completos para servicio de la alberca, visitas etc.Alberca con iluminación con Jacuzzi, hidromasaje y luz interior.Gran Jardín con buena iluminación.Portón eléctrico de ingreso.Bbaño de visitas al ingreso.Muro perimetral rústico con herrería. Cercanías:Zapotlanejo a 9 km.Seminario de Jesuitas a 1 km.Zona campestre.  ",400m²,1187m²,Publicado hace 36 días,
Casa en Excelente Zona a un Magnifico Precio!,,"MN 2,380,000","CASA EN EXCELENTE ZONA, COMPRA PARA VIVIR O PARA INVERTIR, NO ESPERES MÁS!!!!!!",297m²,140m²,Publicado hace 69 días,
Mansion en Venta Colinas de San Javier Lujo Andares,,"MN 82,000,000",ESPECIFIACIONES *PLANTA ALTA*-4 RECAMARAS COB BAÑO VESTIDOR MUY AMPLIAS-OFICINA-STAR DE TV-GIMNASIO-ESPACIO DE USOS MÚLTIPLES CON UN GRAN TERRAZA*PLANTA BAJA*- 2 RECÁMARAS AMPLIAS CON BAÑO VESTIDOR-SALA-COMEDOR-SALA DE CINE-SALA DE JUEGOS-BAÑOS PARA DAMAS Y CABALLEROS EN ESPACIOS DIFERENTES -COCINA AMPLIA EQUIPADA CON DESPENSA DOBLE -CUARTO DE LAVADO AMPLIO-CUARTO DE SERVICO CON BAÑO Y CLOSET-COCHERA 12 AUTOS-UN GRAN JARDIN-TERRAZA-CAÑADA-CASETA DE VIGILANCIA EN ASCESO PRINCIPAL*ACABADOS*-MADERA CEDRO EN RECAMARAS-MADERA MAPLE EN COCINA-AIRES ACONDICIONADO -PISO PLACA DE MÁRMOL GRIEGO -GRANITO-FUENTES DE BRONCE-PLATAFORMAS DE JARDÍN EN CONCRETO-PISOS EN RECAMARAS Y GIMNASIO DE MADERA DE ALTA INGENERIA-CIRCUITO CERRADO-APAGADORES INTELIGENTES EN LUZResidencia de Lujo con Amplios Jardines y Terminados de Lujo,2400m²,5300m²,Publicado hace 38 días,
Bosques de La Victoria Casa de 600 m,PENINSULA 2956,"MN 8,990,000","PB.- Cochera para 4 autos, sala comedor, cocina integral con ante comedor, 1 sala de star, 2 1/2 baños, alberca, área de lavado, 1 jardín de aproximadamente 150m2 con terraza, 1 cancha de squash con vista hacia el juego, baños de vapor. PA.- 1 sala de star bastante amplia, 2 recamaras con sus baños vestidor, muy amplias, y las otras 2 recamaras comparten baño. Opción a hacer roof garden. Cuenta con arboles frutales, con excelente ubicación, distribución buena y lo mejor de todo, precio a mejorar!!!!",587m²,600m²,Publicado hace 133 días,
Venta de Casa con Locales Comerciales en Guadalajara,AV. HISTORIADORES,"MN 4,400,000","Ref: NEX-6359¡Excelente oportunidad de negocio!Venta de casa con locales comerciales funcionando. Con una excelente ubicación en esquina con alto flujo vehicular y peatonal, por lo que resulta una maravillosa opción de compra que a mediano y largo plazos, puede generarte ingresos.La propiedad está bien construida y es ideal para quien quiere invertir. Es lugar muy grande que integra 4 locales comerciales en planta baja y 2 en planta alta. Actualmente uno de ello se utiliza como estudio de danza y otro es multiusos.Si deseas conocer la propiedad, ponte en contacto con nosotros vía telefónica o llenando el formulario. Estaremos encantados de atenderte.",262m²,202m²,Publicado hace 31 días,
Venta Casa Colomos Providencia,,"MN 9,500,000",EXCELENTE UBICACIÓN FRENTE AL BOSQUE DE LOS COLOMOS A 1 MINUTO DE PATRIA CASA LISTA PARA HABITAR O PARA INVERSIONISTAS QUE QUIERAN CONSTRUIR DESARROLLO VERTICAL.,380m²,420m²,Publicado hace 19 días,
Casa en Venta en Providencia con Excelente Ubicación,Nápoles,"MN 11,900,000","Casa en venta en Providencia con una excelente ubicación, en una de las zonas mas codiciadas de la ciudad de Guadalajara, rodeada de parques, escuelas, plazas y negocios. La propiedad esta a una cuadra de la importante av. Ruben Dario y del parque con el mismo nombre. Puede ser una excelente opción para oficinas, remodelación u algún otro proyecto por la ubicación que tiene tan privilegiada y las dimensiones del terreno.",475m²,545m²,Publicado hace 138 días,55606300
Oportunidad Casa en Venta en San Juan Bosco,SEBASTIAN ALLENDE 678,"MN 4,150,000","CASA EN “COL. SAN JUAN BOSCO S.L. GDL ” Casa en la colonia San Juan Bosco Calle Sebastián Allende (la 58) # 678, a unas calles de San Juan Bosco, Talpita, mercado Felipe Ángeles, a tan solo 8 minutos de Plaza Terraza Oblatos, Centro de Guadalajara, centro médico de occidente, clínica del imss 110, en general cerca de todos los servicios… la propiedad es muy amplia y puede tener uso para Casa o Negocio, como escuela, oficinas, bodega, taller, hospital, etc. Cuenta con un terreno de 406.00 metros cuadrados de terreno con un frente de 10 por 40 metros y cuenta con tres departamentos con las siguientes: CARACTERISTICAS DEPARTAMENTO EXTERIOR: *COCHERA 1 AUTO CON CANCEL ELECTRICO. *COCINA. *SALA Y COMEDOR. *3 RECAMARAS. *DOS BAÑOS COMPLETO. *PATIO DE SERVICIO. DEPARTAMENTO INTERIOR PLANTA ALTA: *SALA COMEDOR Y COCINA *DOS RECAMARAS *BAÑO COMPLETO *AREA DE SERVICIO. DEPARTAMENTO INTERIOR PLANTA ALTA: *ESTACIONAMIENTO 2 AUTOS. *SALA COMEDOR Y COCINA. *DOS RECAMARAS CON CLOSET. *BAÑO COMPLETO. *MEDIO BAÑO. *AREA DE SERVICIO. DEPARTAMENTO INTERIOR PLANTA BAJA: *ESTACIONAMIENTO 2 AUTOS. *SALA COMEDOR Y COCINA. *DOS RECAMARAS. *BAÑO COMPLETO. *AREA DE SERVICIO. PRECIO $4,150,000.00 PAGOS DE CONTADO. (Solo este medio por que se deriva de juicio sucesorio) INFORMES Y CITAS AL Ver datos CON PILAR AGUAYO",450m²,406m²,Publicado hace 4 días,
Bonita Casa en Batallon de Sn Patricio Guadalajara,SIERRA DE MAPIMI 237,"MN 3,400,000","BONITA CASA EN DESNIVEL EN BATALLON DE SAN PATRICIO EN GUADALAJARA.SUPERFICIE: 129.60 P.B. COCHERA PARA 2 AUTOS, BODEGA, 1/2 BAÑO, COCINA INTEGRAL, COMEDOR, SALA, RECAMARA CON BAÑO COMPLETO Y CLOSET.P.A. 2 RECAMARAS CON CLOSET Y BAÑO COMPLETO CADA UNA. TERRAZA CON AREA DE LAVADO.CUENTA CON DESCANSOS EN DESNIVEL, BOMBA DE AGUA, ALJIBE, GAS ESTACIONARIO, LAMPARAS, RECIBIDOR, TERRAZA.CERCA DE PLAZA INDEPENDENCIA.",140m²,129m²,Publicado hace 31 días,
Casa en Lomas del Gallo,,"MN 1,250,000","Casa con 4 recamaras, excelente ubicación",4,2,Publicado hace 38 días,
Casa en Venta Col Oblatos,,"MN 2,190,000",Casa de 1 Nivel La casa fue adaptada para negocio (Restaurant) Estuvo funcionando como Pizzería. Se remodelo para su uso comercial,208m²,177m²,Publicado hace 38 días,
Casa en Venta Aaron Joaquin,Esther tapia de castellanos # 3290,"MN 1,550,000","Casa dos niveles, cuenta con cocina integral, sala, comedormuy amplios, 2 cuartos amplios,1 baño completo con tin, espacio con oratorio,,azotea con area de terraza y area de lavado, la casa cuenta con protecciones, en planta baja cuenta con local comercial con espacio de 100 m2 el local cuenta con 2.5 baños. Casa muy muy amplia y en excelente ubicacion.",125m²,299m²,Publicado hace 56 días,
"Bonita Casa U Oficinas en Lomas del Paradero, Guadalajara, Jalisco",Amado Aguirre,"MN 1,580,000","Casa con excelente ubicación y en buen estado, muros de ladrillo, pisos de loza en excelentes condiciones. Suelo habitacional o puede ser usado para oficinas. Casa de dos pisos con recámara y baño en planta baja, y en planta alta tres recámaras y balcón.",171m²,90m²,Publicado hace 40 días,
Date El Lujo de Vivir en La Ciudad (Cerca de Rio Nilo y Patria) Ultimas 3 Resiencias,Jesus Galindo Y villa 3915,"MN 2,695,000","Precioso conjunto de 30 Residencias dentro y fuera de coto, ubicadas dentro de la ciudad y cerca de todo. Informes (Ver datos y celular o whatsapp Ver datos Totalmente terminadas de lujo, Cocina integral con granito, Carpintería de Primera, cristales templados en escaleras, balcones y baños. Excelente Jardín y Terraza Privada. Contamos con 8 Proyectos que se adaptan a sus necesidades, todas cuentan como mínimo con 3 recamaras, 2.5 baños, 2 cajones de estacionamiento, amplia Sala comedor y cocina. En algunos Proyectos de también se cuenta con estar de Televisión, Estudio, Roof Garden, Terraza Techada, Amplio Jardin, Cuarto de lavado y 3 cajones de estacionamiento.",134m²,105m²,Publicado hace 134 días,
"Inmueble Productivo en Venta Oblatos, Guadalajara",Hacienda Mazatepec 2331,"MN 1,800,000","Conjunto habitacional de departamentos en venta en Zona Oblatos. Cuenta con 5 Departamentos cada uno con dos recamaras y cocineta. Cada departamento cuenta con: - Boiler independiente. - Área de lavado. - 1 Baño completo. Excelente opción para inversionistas, puedes rentar los cuartos para obtener un retorno de inversión y/o además vivir ahí. Servicios cercanos: Escuelas primarias Plaza Oblatos",286m²,188m²,Publicado hace 101 días,
Departamento Frente Plaza Arboledas,AV. DE LA ARBOLEDA INT.,"MN 1,800,000","DEPARTAMENTO EN MUY BUEN ESTADO DE CONSERVACIÓN, DOS RECAMARAS Y ESTUDIO,SALA COMEDOR, 1 BAÑO COMPLETO Y UN MEDIO BAÑO,COCINA Y AREA DE LAVADO,ESTACIONAMIENTO PARA 1 AUTO PISOS CERAMICOS Y LAMINADO EN RECAMARAS, TODO EN MUY ESTADO EXCELENTE ENTORNO,CERCA DE IMPORTANTES VÍAS DE COMUNICACIÓN, FRENTE AL CENTRO COMERCIAL PLAZA ARBOLEDAS, A 5 MIN DE PLAZA DEL SOL,Y A UNAS CUADRAS DE LA EXPO GUDALAJARA",82m²,82m²,Publicado hace 62 días,
"Casa por Parque San Andres, Oportunidad Inversionistas.",antonio enriquez,"MN 1,670,000","Excelente ubicación a 1 cuadra de plutarco elías calles y 4 cuadras estacion tren ligero san Andres. 3 casas en 1 con entradas independientes. Terreno total: 185 m2 Casa 1: 3 recámaras, 2 baños, cocina integral, patio de servicio. Casa 2: 4 recámaras, 2 baños, cocina, patio de servicio. Casa 3: 3 recámaras, 1.5 baños, cocina integral. Ubicada casi en esquina, todos los servicios. Transporte, escuelas, gym, plaza terraza oblatos, punto oriente, parque san andres, etc. Oportunidad de renta total 10,000 mensuales. Precio a tratar.",298m²,185m²,Publicado hace 18 días,
Casa en Venta en Santa Teresita Calle Nicolas Romero,Nicolas Romero 337,"MN 1,980,000","Casa en Venta en Zona de Desarrollo Comercial en Santa Tere. Nota importante: la propiedad sólo puede remodelarse con autorización del Patronato del Centro Histórico y la Secretaria de Cultura Jalisco, respetando la fachada y el estilo del barrio de Santa Teresita. Características Generales Terreno: 181 m2 Construcción: 181 m2 Frente 8.35 metros Fondo: 20.91 metros Edad: 50 a 60 años Uso de Suelo: Mixto Barrial Descripción: Ingreso Cochera Baño Bodega General Cuarto Anexo 1 Cuarto Anexo 2 Cuarto Anexo 3",181m²,181m²,Publicado hace 144 días,
Guinea / Lagos de Oriente / Zona Zoologico,,"MN 2,750,000","Moderna y EspaciosaHabitaciones 4Baños 5Estacionamiento 2 autosPatio de serv, Sala, Comedor, CocinaGUINEA 703 LAGOS DE ORIENTE , GUADALAJARA, ZONA ZOOLOGICO *aceptamos o te tramitamos tu credito",380m²,170m²,Publicado hace 38 días,
Casa con Magnifica Ubicación en Col. Oblatos,hacienda concepcion 1243,"MN 1,695,000","Casa con muy buena ubicación a tan solo unas cuadras de Av. Artesanos y Av. Juan Pablo II, a solo 4 minutos de Gran Terraza Oblatos, la casa esta ubicada sobre una calle muy tranquila, al frente de la casa esta la barda périmetral de una secundaria, cuenta con recamara en PB, en planta alta hay 3 recamaras, la recamara principal mide aprox. 5X6 mts y tiene un balcon muy amplio. La casa se entregara pintada.",100m²,149m²,Publicado hace 90 días,
Residencial Victoria Casa en Venta,PLAZA DEL SOL,"MN 5,450,000","CASA EN VENTA EN RESIDENCIAL VICTORIA A UNA CUADRA DE PLAZA DEL SOL 4 RECAMARAS CADA UNA CON BAÑO COMPLETO Y VESTIDOR CUARTO DE SERVICIO CON BAÑO COMPLETO ESTUDIO COCINA INTEGRAL SALA, COMEDOR TERRAZA CON JARDIN COCHERA PARA DOS AUTOS ALARMA SEGURIDAD, CAMARAS TERRENO 284 M2 CONSTRUCCION 350.54 M2",350m²,284m²,Publicado hace 38 días,
Casa en Venta en Rinconada Santa Rita,Orquidea,"MN 14,900,000","Excelente residencia en venta en Rinconada de Santa Rita completamente remodelada hace 3 años, la cual cuenta en Planta Baja con cochera para 3 autos, recibidor, estudio o cuarta recámara, baño completo, sala, comedor, chimenea, cocina integral con antecomedor, family room y jardín. Planta Alta: Recámara principal con aire acondicionado y vestidor, baño con jacuzzi, 2 recámaras cada un con baño y vestidor, oficina o estudio, cuarto de servicio y área de lavado, cuenta con calentador solar.",550m²,450m²,Publicado hace 25 días,54269236
Casa en Venta con Uso Comercial Mixto Barrial en Jardines del Country,h-4 numero 2011,"MN 4,450,000","Excelente oportunidad de casa con uso de suelo Mixto Barrial, se ubica en esquina lo cual la hace mas interesante, accesible a vialidades como Avila Camacho, Avenida Patria. En planta baja se encuentra la cochera, recibidor, cocina, comedor, estudio, tres recamaras cada una con baño propio, mas medio baño. Área de comedor a doble altura con acabados en madera, en planta alta sala, dos recamaras con baño, una con estudio, área de lavado y patio de azotea, ideal para negocio : oficinas, consultorios o para construir torre de departamentos con uso probable a 4 niveles. para conocerla previa cita.",405m²,305m²,Publicado hace 114 días,
Casa en Venta Jardines de La Cruz,Av Isla Pantenaria 1948,"MN 3,850,000","Casa en Venta!! Excelentes Terminados¡ Sala Comedor, Cocina Integral Equipada y con Barra des-ayunadora en granito , Dos Niveles , 4 recamaras cada una con su baño completo recubierto en mármol y closet en parota, pisos en laminados recamara y porcelana-to interceramic Star TV, Roof Garden , Área de Lavado Techado, patio trasero con protecciones, estacionamiento para un auto, cuenta con porton eléctrico, entrada peatonal independiente, cerca electrificada y cámaras de vigilancia, e interfon",4,196m²,Publicado hace 45 días,
Casa en Calzada Independencia,Calzada independencia 1020,"MN 3,700,000","CASA EN VENTA SOBRE LA CALZADA INDEPENDENCIA 8 MT DE FRENTE POR 26 DE FONDO COCHERA CON PORTÓN ELÉCTRICO 4 RECÁMARAS RECÁMARA PRINCIPAL CON VESTIDOR Y BAÑO DOS PISOS, ESCALERA DE MADERA DE CAOBA COCINA INTEGRAL SALA COMEDOR CUARTO DE SERVICIO CON BAÑO PATIO AMPLIO LOCALITO COMERCIAL CON MEDIO BAÑO PLANTA ALTA 3 BAÑOS Y DOS MEDIOS BAÑOS EN PLANTA BAJA",360m²,208m²,Publicado hace 11 días,
Casas en Venta por La Antigua Penal de Oblatos,AV JAVIER MINA,"MN 2,250,000","CASAS EN PREVENTA, DIFERENTES PRECIOS, MEDIDAS Y DISTRIBUCION, SOLAMENTE NUEVE CASAS !!!!!!! CUENTAN CON SALA COMEDOR, COCINA INTEGRAL EQUIPADA Y BARRA DE GRANITO PATIO O JARDIN POSTERIOR 2. 5 BAÑOS 3 HABITACIONES Y UN ESTUDIO, O UNA 4 HABITACION( LA PRINCIPAL CON BAÑO,CLOSET Y TERRAZA O BALCON) EN EL TERCER NIVEL OTRO MODELO CON 3 HABITACIONES CADA UNA CON BAÑO COCHERA PARA UN SOLO AUTO AREA DE LAVADO EN EL TERCER NIVEL EXCELENTE UBICACION Y EXCELENTES ACABADOS !!!!! SE REQUIERE DEL 30 % DE ENGANCHE ASESORIA GRATUITA EN LOS TRAMITES DE SU CREDITO ''''''' NO INMOBILIARIAS ''''''''",108m²,80m²,Publicado hace 11 días,
Casa en Col. San Rafael,isaac albeniz,"MN 1,550,000",*Recién Re modelada *Cerca del Parque San Rafael y Mdo. El Campesino *Dentro de coto (solo 4 casas) *Seguridad -88.86 mt2 (terreno) -112.20 mt2 (construcción) -3 Recamaras -2 Baños 1/2 baño -3 lugares para estacionamiento -1 cuarto de servicio,113m²,89m²,Publicado hace 14 días,
Casa Para Remodelar en Col. Miraflores Cerca de Av Cientificos,Saul Rodilles 1784,"MN 2,500,000","Casa para remodelar, de una planta con desnivel. PLANTA BAJA: *Sala-comedor *Cocina con patio de servicio *Patio-terraza el cual permite darle a la casa una excelente ventilación y luz natural. DESNIVEL: * Baja medio nivel: 2 recamaras y 1 baño completo. Ambas recamaras tienen salida para conectarse con un patio interior, ubicado en la parte trasera de la casa. *Sube medio nivel: 2 recamaras, pasillo de distribución y 1 baño completo. DIMENSIONES: 8 de frente X 20 de fondo. UBICACIÓN CÉNTRICA: -A una cuadra de Av. Científicos -3 minutos de Av. Circunvalación -2 minutos de Av. Alcalde -2 minutos de CODE Alcalde.",149m²,160m²,Publicado hace 17 días,
Casa en Venta en Ladron de Guevara,garibaldi,"MN 8,690,000","Casa Muy amplia ubicada en una de las mejores zonas de Guadalajara, ideal para casa habitación, Notaria, despachos u oficinas. En excelente estado de conservación, con pisos de mármol, azulejos y acabados originales. En planta baja, jardín con fuente, Cochera para 4 autos (dos espacios techados), recibidor con medio baño, gran sala - comedor con vista al amplio jardín trasero de 70mts, chimenea decorativa, cocina, recamara con vestidor y baño completo, patio de servicio y cuarto de servicio con baño completo (independiente). En planta alta, sala/ estudio amplio,distribuidor, 4 Recamaras amplias principal con baño y vestidor. Terreno de 13.71 x 28mts 430 mts de construcción C.O.S: 0.8 C.U.S: 1.6 Densidad habitacional: 195p *Libre de Gravamen **Llama y agenda tu cita!!**",430m²,383m²,Publicado hace 6 días,56378581
"Excelente Residencia en Providencia, Ubicación Privilegiada",Asunción 1683,"MN 6,800,000","Propiedad muy bien ubicada, casi esquina con Av. Montevideo frente al colegio San José Pilcalli, cuenta con un amplio jardín posterior con terraza y recamara para la servidumbre, se encuentra en excelente estado de conservación, podría ser opción para remodelar o modernizar los terminados.",330m²,289m²,Publicado hace 126 días,
"Casa en Venta, Para Uso Comercial/habitacional",,"MN 2,490,000","Está en esquina, ideal para negocio ya que se encuentra en una excelente zona. Bonito, grande y espacioso ¡Ganala!",352m²,250m²,Publicado hace 90 días,
*san Rafael*,isaac albeniz,"MN 1,550,000","$1´550,000 *Recién Re modelada *Cerca del Parque San Rafael y Mdo. El Campesino *Dentro de coto (solo 4 casas) *Seguridad -88.86 mt2 (terreno) -112.20 mt2 (construcción) -3 Recamaras -2 Baños 1/2 baño -3 lugares para estacionamiento -1 cuarto de servicio",89m²,112m²,Publicado hace 19 días,
"Casa en Oblatos! Te Espera, Ven por Ella.",* HDA SANTA CRUZ DEL VALLE #,"MN 1,450,000","CANSADO DE RENTAR?? ADQUIERE UNA HERMOSA CASA EN ZONA TRANQUILA, CON TODOS LOS SERVICIOS Y CENTROS COMERCIALES CERCA ASÍ COMO ACCESO A AVENIDAS PRINCIPALES...",120m²,150m²,Publicado hace 6 días,
