titulo,direccion,precio,descripcion,construido,terreno,fecha,ide
Residencial Casa Venta Huentitan El Bajo Guadalajara,,"MN 9,500,000","CASA CAMPESTRE DE DOS PLANTAS UBICADA AL CENTRO DE LA PROPIEDAD, CON ESPACIOS PARA HACER DIFERENTES TIPO DE ACTIVIDADES DEPORTIVAS, VERAS MUCHAS ÀREAS VERDES Y JARDINERÍA QUE LA HACEN MUY AGRADABLE A LA VISTA, CUENTA CON BAÑOS EXTERNOS PARA LAS VISITAS Y SU KIOSCO CON ASADOR LES PERMITIRÁ CONVIVIR EN FAMILIA Y AMISTADES, TIENE CAPACIDAD PARA 6 AUTOS ESTACIONADOS EN SOMBRA",285m²,2254m²,Publicado hace 66 días,
Casa Ladrón de Guevara,Calle Ignacio Herrera y Cairo 2485,"MN 5,150,000","Casa perfecta para remodelación casa u oficina Detrás de colegio Cervantes Costa Rica, a dos cuadras de López Mateos. Excelente ubicación Sala comedor, espacio para cocina. Patio trasero techado (por uso de oficinas)",2,263m²,Publicado hace 28 días,
Casa Remodelada en Venta Ubicada en del Sur,Panama #1803,"MN 1,620,000","CASA TOTALMENTE REMODELADA EN VENTA Uso Habilitacional, ubicada en calle Panamá, colonia Del Sur, cerca de la zona comercial mas grande de occidente del país. Avenidas importantes cercanas, Av. Lazaro Cardenas, Av. Colon, Av. Cruz del Sur. Cocina completamente nueva, 2 Habitaciones, Sala comedor plantas, 2 baños completos. La casa cuenta con 88.55 mtrs. cuadrados de terreno. En proceso de remodelación al un 80%.",100m²,88m²,Publicado hace 14 días,
"Residencial Victoria, en Venta, Ubicada, Amplia",AV. FARO,"MN 10,780,000","Hermosa casa amplia, Inmejorable ubicación, excelentes terminados, zona con gran plusvalía, cerca de plazas comerciales, Bancos, colegios, cerca de espacios recreativos como son parques con juegos infantiles y pista de jogging, cerca de vías principales y de acceso rápido, zona tranquila. Planta baja: Recibidor, cuarto de estudio, medio baño, sala, comedor, 2 patios maceteros interiores, cocina integral con barra desayunadora con cubierta de granito, torre de hornos, cuarto de lavado y de servicio con baño completo, 2 terrazas, una con asador, 2 medios baños y cuarto (bodega) amplio arriba, jardín muy amplio. Planta Alta: 4 recámaras, la principal con baño, tina de hidromasaje, vestidor y cuarto de ejercicio los 2 con aire acondicionado, 3 recámaras con baño cada una y closet, Star T.V con iluminación natural. CONTÁCTENOS Y CON GUSTO LE ATENDEREMOS, Y SI LO REQUIERE, LE TRAMITAMOS SU CRÉDITO HIPOTECARIO.",490m²,421m²,Publicado hace 37 días,
Venta de Excelente Casa en La Colonia Terranova,Reforma 2902,"MN 8,800,000","Preciosa casa en Zona Residencial, construida en dos niveles en Estado de conservación Excelente, Ideal para oficinas, Ubicada en una de las mejores zonas de Guadalajara, rodeada de centros comerciales como: Galería del Calzado, La Gran plaza, Plaza Galerias entre otras, Hospital del Carmen, La Tequilera, departamentos nuevos y oficinas ejecutivas.",347m²,234m²,Publicado hace 22 días,56272445
Oportunidad a Negociar Linda Casa Lista Para Habitar,"Ignacio Jacobo Magaña 1538, Lomas del Nilo, Guadalajara, Jal.","MN 1,330,000","Casa en venta en Guadalajara, cuenta con Cochera techada con portón de herrería, área de sala comedor, cocina integral con estufa y amplia alacena, patio con piso y área de lavado, aljibe; se acaba de cambiar la alfombra de la escalera. En el segundo Nivel cuenta con 1 Recamara amplia con Closet (La Principal), Recamara y estudio con Balcón, se comparte baño completo para las recamaras. Lugares de interés Cercanos: Soriana de lomas del Nilo a unas cuadras, Centro Comercial Plaza Lomas, la casa del Wafle Rio nilo, Secundaria General 57, Secundaria Técnica 154., cuenta con Cochera techada con portón de herrería, área de sala comedor, cocina integral con estufa y amplia alacena, patio con piso y área de lavado, aljibe; se acaba de cambiar la alfombra de la escalera. En el segundo Nivel cuenta con 1 Recamara amplia con Closet (La Principal), Recamara y estudio con Balcón, se comparte baño completo para las recamaras. Lugares de interés Cercanos: Soriana de lomas del Nilo a unas cuadras, Centro Comercial Plaza Lomas, la casa del Wafle Rio nilo, Secundaria General 57, Secundaria Técnica 154.",61m²,113m²,Publicado hace 12 días,55944735
Casa en Venta Jardines del Sur,Isla Tazmania,"MN 2,600,000","Descripción HERMOSA CASA EN JARDINES DEL SUR Casa muy bien ubicada, Totalmente Remodelada, a una cuadra de Isla Pantenaria, cerca de Isla Raza, Cruz del Sur, Lopez de Legazpi, Escuelas cerca, Restaurantes, Templos, Parques a una cuadra de distancia, Áreas de Juegos para niños, La casa cuenta 7 de frente por 17.5 de fondo Construcción 110m/2 Tiene 3 recamara con amplios espacios. La recamara principal cuenta con baño propio y las otras dos recamaras comparten baño, cada recamara con closet muy amplios. patio con el área de lavado. Toda la casa cuenta con protecciones ventanales de aluminio moderno, Portón eléctrico, cocina de granito, madera hilo de pino con caoba, puerta de parota, Mas informes al Ver datos",115m²,122m²,Publicado hace 3 días,55799750
"Espacio Chapalita 203, Modelo Viena. Pregunta por Nuestras Promociones Especiales",AV. IGNACIO VALLARTA 4701 ESQUINA AV. INGLATERRA,"MN 4,225,262","Porque queremos que te sientas cómodo y satisfecho en todo momento, contamos con 2 modelos habitacionales, los cuales más que verlos como casas o departamentos, los consideramos espacios que puedas habitar y crear a tu gusto, para que sigas llevando la vida que te gusta y mereces. AMENIDADES -PATIOS VERDES entre las viviendas con andadores y jardineras, sin acceso a vehículos. -TERRAZAS SEMI-ABIERTAS, en dos niveles; con baños, cocinetas y área de convivencia. - EXCLUSIVA TERRAZA techada que hará de tus reuniones todo una experiencia. ACABADOS -VENTILACIÓN Ventilación natural en el área social. -PISOS Material cerámico en áreas sociales y baños. -BAÑOS Canceles de cristales templado. Accesorios de baños de primera calidad. -COCINA Diseño bicolor. Cubierta natural de granito. Sistema de cierre SlowMotion. -AIRE ACONDICIONADO Recámara principal. Área social. Preparación en las otras recámaras. -DETALLE Amplias terrazas y balcones. Barandales. Vistas Privilegiadas. Amplios ventanales",137m²,137m²,Publicado hace 32 días,56160293
Casa en Venta en Vallarta Norte,juana de arco,"MN 10,490,000","Casa en venta ideal para oficinas a puerta cerrada, ubicada a media cuadra del parque y se encuentra muy cerca de las avenidas México, Lopez Mateos, Justo Sierra y Terranova. Casa recién remodelada la cual cuenta con portón eléctrico, cochera 3 autos, sala, comedor, estudio, cocina integral, medio baño de visitas, patio, salón de juegos, cuarto de lavado y de servicios. Planta alta: 3 recámaras cada un con baño completo, la principal con vestidor.",392m²,282m²,Publicado hace 25 días,56074220
"Casa en Venta en Col. Santa María ¡Cerca de Centro Médico, Oportunidad!",Castellanos y Tapia,"MN 3,000,000","¡Excelente oportunidad de vivienda en Guadalajara! Propiedad en venta, muy amplia ubicada en Col. Santa María, cerca de Centro Médico, el Baratillo, Calzada Independencia Norte, Circunvalación Oblatos y Juan Pablo II TERRENO: 246 m2 CONSTRUCCIÓN: 349 m2 Cuenta con diferentes espacios con la siguiente distribución: Espacio 1 en planta baja: cochera para un auto, sala-comedor, baño completo, cocina, patio. En planta alta: habitación, baño completo, estar de TV, área de cocina, patio de lavado. Espacio 2, planta baja: sala-comedor, cocina. Planta alta con habitación amplia con clóset y baño completo. . Dichos espacios se comunican entre si con un patio central que dispone de asador de material. Excelente para proyecto de subdivisión y renta de departamentos para médicos o estudiantes de medicina por su cercanía con centro médico. PRECIO BASE: $3,000,000 ¡HAZME UNA OFERTA! ¡Llama a los teléfonos Ver datos / Ver datos! Encuentra más propiedades en",349m²,246m²,Publicado hace 48 días,
